"FAQs", "التعليمات"
"The QuadClean multi-surface brush-roll deep cleans all floor types – with no swapping. This unique design features a raised front edge to pull in large particles, carpet fins to lift embedded dirt and hair, agitation ribs to loosen fine dirt, and soft microfibre to capture fine dust.",".متعددة الأسطح على تنظيف جميع أنواع الأرضيات بعمق - بدون تبديل. يتميز هذا التصميم الفريد بحافة أمامية مرتفعة لسحب الجزيئات الكبيرة، وزعانف سجاد لرفع الأوساخ والشعر، وأضلاع تحريك لتفكيك الأوساخ الدقيقة، وألياف دقيقة ناعمة لالتقاط الغبار الناعم QuadClean تعمل فرشاة"
"Anti-Allergen Complete Seal captures and traps 99.9% of dust, allergens and irritants inside the vacuum, not releasing them back into your home. Perfect for homes with pets or allergy sufferers.",".يقوم الختم الكامل المضاد للحساسية بالتقاط وحبس 99.9% من الغبار والمواد المسببة للحساسية والمواد المهيجة داخل المكنسة الكهربائية، ولا يطلقها مرة أخرى إلى منزلك. مثالي .للمنازل التي بها حيوانات أليفة أو من يعانون من الحساسية"
"Enjoy up to 60 minutes of run-time and charge the removable battery anywhere around your home","استمتع بما يصل إلى 60 دقيقة من وقت التشغيل واشحن البطارية القابلة للإزالة في أي مكان في .منزلك"
"Responds to low-light areas, automatically illuminating hidden dust and debris.",".يستجيب للمناطق منخفضة الإضاءة، ويضيء تلقائيًا الغبار والحطام المخفي"
"Auto-detects floor type and optimises performance, increasing the brush-roll speed up to 2 for deep cleaning on carpet.","يكتشف تلقائيًا نوع الأرضية ويحسن الأداء، مما يزيد من سرعة دوران الفرشاة بما يصل إلى 2 للتنظيف العميق للسجاد"
"Senses edges and doubles suction for more powerful edge and corner cleaning.",".يستشعر الحواف ويضاعف الشفط لتنظيف أكثر قوة للحواف والزاوية"
"Detects dirt you can't see and automatically boosts suction power for deep cleaning on carpets.",".يكتشف الأوساخ التي لا يمكنك رؤيتها ويعزز قوة الشفط تلقائيًا للتنظيف العميق للسجاد"
"deep-cleaning technologies detect and react to their surroundings, tracking down every hidden mess in your home.",":تقنيات للتنظيف العميق تكتشف وتتفاعل مع البيئة المحيطة بها، وتتعقب كل فوضى مخفية في منزلك"
"Shark's most intelligent vacuum cleaner range. This ultra-lightweight, deep-cleaning cordless intelligently adapts to every mess.",".مجموعة المكنسة الكهربائية الأكثر ذكاءً من Shark. يتكيف هذا الجهاز اللاسلكي خفيف الوزن للغاية والتنظيف العميق بذكاء مع كل فوضى"
"Introducing Detect Pro",".تقديم كشف برو"
"Copyright © 2013-present Magento, Inc. All rights reserved."," هي علامة تجارية مسجلة لشركة  ®Shark .2024  القرش | المكانس الكهربائية والمماسح ومنتجات العناية المنزلية المبتكرة ©"
"Submit","يُقدِّم"
"Finance provided by PayPal Credit. Terms and conditions apply. Credit subject to status, UK residents only, SharkNinja Europe Ltd. (postal address: 3150 Century Way, Leeds, LS15 8ZB) acts as a broker and offers finance from PayPal Credit, PayPal Credit is a trading name of PayPal UK Ltd, Whittaker House, Whittaker Avenue, Richmond-Upon-Thames, Surrey, United Kingdom, TW9 1EH.","SharkNinja Operating LLC التمويل المقدم من PayPal Credit. تطبق الشروط والأحكام. يخضع الائتمان للحالة، للمقيمين في المملكة المتحدة فقط، SharkNinja Europe Ltd. (العنوان البريدي: 3150 Century Way, Leeds, LS15 8ZB) يعمل كوسيط ويقدم التمويل من PayPal Credit، PayPal Credit هو الاسم التجاري لشركة PayPal UK Ltd، Whittaker House , شارع ويتاكر، ريتشموند أبون تيمز، ساري، المملكة المتحدة، TW9 1EH."
"*Offer valid for new email subscribers only","العرض صالح لمشتركي البريد الإلكتروني الجدد فق*"
"About Us","معلومات عنا"
"Black Friday","الجمعة السوداء"
"Reviews","التعليقات"
"Cleaning Tips & Advice","نصائح وإرشادات التنظيف"
"SharkNinja Careers","SharkNinja وظائف"
"Work With Us","اعمل معنا"
"Terms and Conditions","الأحكام والشروط"
"Privacy Notice","إشعار الخصوصية"
"Connected Devices Privacy Notice","إشعار خصوصية الأجهزة المتصلة"
"UK Modern Slavery Statement","بيان العبودية الحديثة في المملكة المتحدة"
"Gender Pay Gap - 2021/22","فجوة الأجور بين الجنسين - 2021/22"
"Gender Pay Gap - 2022/23","فجوة الأجور بين الجنسين - 2022/23"
"Consumer Rights","حقوق المستهلك"
"Vulnerability Disclosure Policy","سياسة الكشف عن نقاط الضعف"
"Cookie Notice","إشعار ملفات تعريف الارتباط"
"Cookie Settings","إعدادات ملفات تعريف الارتباط"
"Media Enquiries","استفسارات وسائل الإعلام"
"Orders & Payments","الطلبات والمدفوعات"
"Delivery & Returns","التسليم والإرجاع"
"PayPal Credit","رصيد باي بال"
"Klarna","كلارنا"
"Price Match Guarantee","ضمان مطابقة الأسعار"
"Guarantee","يضمن"
"Discount","تخفيض"
"Student Discount","هل يوجد تخفيض للطلبة"
"Technology","تكنولوجيا"
"Anti-Hair Wrap","غلاف مضاد للشعر"
"DuoClean","دووكلين"
"Powerfins","زعانف قوية"
"Anti-Allergen","مضاد للحساسية"
"Shark Stratos","ستراتوس القرش"
"Flexology","علم المرونة"
"Coming soon", "قريباً"
"My Shark","القرش الخاص بي"
"Register My Guarantee","سجل ضمانتي"
"Log in","تسجيل الدخول"
"Need Help?","تحتاج مساعدة؟"
"Customer Care","رعاية العميل"
"Contact Us", "اتصل بنا"
"Parts & Accessories","قطع الغيار والملحقات"
"Where innovation is right at home.",".حيث يكون الابتكار في المنزل "
"Enter your email address","أدخل عنوان بريدك الإلكتروني"
"Join our mailing list", "انضم لقائمتنا البريدية"
"Keep me updated with offers, rewards and what/'s new at Shark -","- Shark أبقيني على اطلاع دائم بالعروض والمكافآت وكل ما هو جديد في"
"Robot Vacuums","المكانس الروبوتية"
"Upright Vacuums","المكانس الكهربائية العمودية"
"Hair Care","العناية بالشعر"
"Carpet Cleaners","منظفات السجاد"
"Air Purifiers","أجهزة تنقية الهواء"
"Hair Dryers","مصففي الشعر"
"Fans","المشجعين"
"See our range.",".انظر مجموعتنا"


